positive	status	Tämä . BMW provosoi tarpeettomiin ohituksiin . Liikennevaloissa lähtiessäkin on usein yhden hengen kiihdytyskisat pystyssä . 	Fordin	 ratissa ei tarvitse katsella tätä , vaikka ajotyyli ja nopeus on samoja . Onko tämä sitä kateutta ?
neutral	status	Tämä . BMW provosoi tarpeettomiin ohituksiin . Liikennevaloissa lähtiessäkin on usein yhden hengen kiihdytyskisat pystyssä . 	Fordin	 ratissa ei tarvitse katsella tätä , vaikka ajotyyli ja nopeus on samoja . Onko tämä sitä kateutta ?
positive	auto,merkki,ääni		Zetat	 on kyllä upeita . Hyväkuntoiset on vaan aikalailla viety käsistä . Aika paljon noita myös laitellaan , mutta hyvällä maulla mielestäni ( motorsport hengessä ) . Olen ollut parin + 250hp vaparin kyydissä . Suorakutonen laulaa nätisti 8000rpm .
positive	auto,merkki,ääni		Zetat	 on kyllä upeita . Hyväkuntoiset on vaan aikalailla viety käsistä . Aika paljon noita myös laitellaan , mutta hyvällä maulla mielestäni ( motorsport hengessä ) . Olen ollut parin + 250hp vaparin kyydissä . Suorakutonen laulaa nätisti 8000rpm .
positive	auto,merkki,ääni		Zetat	 on kyllä upeita . Hyväkuntoiset on vaan aikalailla viety käsistä . Aika paljon noita myös laitellaan , mutta hyvällä maulla mielestäni ( motorsport hengessä ) . Olen ollut parin + 250hp vaparin kyydissä . Suorakutonen laulaa nätisti 8000rpm .
positive	auto,merkki,ääni		Zetat	 on kyllä upeita . Hyväkuntoiset on vaan aikalailla viety käsistä . Aika paljon noita myös laitellaan , mutta hyvällä maulla mielestäni ( motorsport hengessä ) . Olen ollut parin + 250hp vaparin kyydissä . Suorakutonen laulaa nätisti 8000rpm .
neutral	hinta,piirteet	Tässä langassa lienee paras kysyä , mitä tulisi huomioida 	E39 : n	 hankinnassa , niitähän saa jo parilla tonnilla . Ainoat kriteerit : nahkasisusta , ilmastointi , sedan .
neutral	hinta,piirteet	Tässä langassa lienee paras kysyä , mitä tulisi huomioida 	E39 : n	 hankinnassa , niitähän saa jo parilla tonnilla . Ainoat kriteerit : nahkasisusta , ilmastointi , sedan .
positive	bensankulutus,kestävyys,kulutus,laatu		Saab 9000	 2 . 3literisellä pikkumoottorilla varustettu ydinpommin kestävä ruotsalainen hirvi . Bensaakin syö hyvin vähäisen määrän per 100km
positive	bensankulutus,kestävyys,kulutus,laatu		Saab 9000	 2 . 3literisellä pikkumoottorilla varustettu ydinpommin kestävä ruotsalainen hirvi . Bensaakin syö hyvin vähäisen määrän per 100km
positive	bensankulutus,kestävyys,kulutus,laatu		Saab 9000	 2 . 3literisellä pikkumoottorilla varustettu ydinpommin kestävä ruotsalainen hirvi . Bensaakin syö hyvin vähäisen määrän per 100km
neutral	bensankulutus,kestävyys,kulutus,laatu		Saab 9000	 2 . 3literisellä pikkumoottorilla varustettu ydinpommin kestävä ruotsalainen hirvi . Bensaakin syö hyvin vähäisen määrän per 100km
negative	ikä,malli	Mihin tääkin perustuu et ikivanhat mersut on niitä ainoita oikeita ? Ei kyllä huvita W210 : n ratista hypätä minkään 	123 : n	 rattiin . Harrasteautona menisi tietty .
negative	ikä,malli	Mihin tääkin perustuu et ikivanhat mersut on niitä ainoita oikeita ? Ei kyllä huvita W210 : n ratista hypätä minkään 	123 : n	 rattiin . Harrasteautona menisi tietty .
negative	ikä,malli	Mihin tääkin perustuu et ikivanhat mersut on niitä ainoita oikeita ? Ei kyllä huvita W210 : n ratista hypätä minkään 	123 : n	 rattiin . Harrasteautona menisi tietty .
negative	muotoilu,ulkonäkö	Väität tosissaan tuon kuvan citikan sitten olevan hienompi ? Tuom citikan muotoilu on kuin alkuysärin honda civic / accord ja 2000 	fiat punto	 tekisivät lapsen . .
negative	muotoilu,ulkonäkö	Väität tosissaan tuon kuvan citikan sitten olevan hienompi ? Tuom citikan muotoilu on kuin alkuysärin honda civic / accord ja 2000 	fiat punto	 tekisivät lapsen . .
positive	koko,koko,koko,laatu,vaikutelma,yleiskuva	Mazdoista puheenollen , olen monesti himoinnut 	121 : kköstä	 . Naurettavan pieni Sedan , hyväkuntoisena varmasti päräyttävä auto muutaman vuosikymmenen päästä .
positive	koko,koko,koko,laatu,vaikutelma,yleiskuva	Mazdoista puheenollen , olen monesti himoinnut 	121 : kköstä	 . Naurettavan pieni Sedan , hyväkuntoisena varmasti päräyttävä auto muutaman vuosikymmenen päästä .
positive	koko,koko,koko,laatu,vaikutelma,yleiskuva	Mazdoista puheenollen , olen monesti himoinnut 	121 : kköstä	 . Naurettavan pieni Sedan , hyväkuntoisena varmasti päräyttävä auto muutaman vuosikymmenen päästä .
positive	koko,koko,koko,laatu,vaikutelma,yleiskuva	Mazdoista puheenollen , olen monesti himoinnut 	121 : kköstä	 . Naurettavan pieni Sedan , hyväkuntoisena varmasti päräyttävä auto muutaman vuosikymmenen päästä .
positive	hinta,laatu,yleinen	Clio V6 : n itsekin ostaisin jos sellainen tulisi järkihintaan vastaan . Kun taas 	Mégane RS : ää	 en ostaisi , mutta en myöskään pistäisi pahakseni omistaa moista laitosta .
positive	hinta,laatu,yleinen	Clio V6 : n itsekin ostaisin jos sellainen tulisi järkihintaan vastaan . Kun taas 	Mégane RS : ää	 en ostaisi , mutta en myöskään pistäisi pahakseni omistaa moista laitosta .
positive	hinta,laatu,yleinen	Clio V6 : n itsekin ostaisin jos sellainen tulisi järkihintaan vastaan . Kun taas 	Mégane RS : ää	 en ostaisi , mutta en myöskään pistäisi pahakseni omistaa moista laitosta .
negative	laatu,status,status	Hymyilin ääneen . Jonnet ja Jonnathan kostuvat näistä . 	Twingolle	 nauravat kaikki , jotka autoista välittävät .
negative	laatu,status,status	Hymyilin ääneen . Jonnet ja Jonnathan kostuvat näistä . 	Twingolle	 nauravat kaikki , jotka autoista välittävät .
negative	laatu,status,status	Hymyilin ääneen . Jonnet ja Jonnathan kostuvat näistä . 	Twingolle	 nauravat kaikki , jotka autoista välittävät .
positive	jousitus	No audissa on 142mm ja 	subarussa	 144mm ? Ja onhan tossa normaalissa kutosessa pitkä ja pehmeä jousitus . Toteutettu vielä monitukivarsilla mäcpearsonin sijasta . Varmasti kokonaisuudessaan antaa paremmat kyydit mitä tollanen imppu .
neutral	jousitus	No audissa on 142mm ja 	subarussa	 144mm ? Ja onhan tossa normaalissa kutosessa pitkä ja pehmeä jousitus . Toteutettu vielä monitukivarsilla mäcpearsonin sijasta . Varmasti kokonaisuudessaan antaa paremmat kyydit mitä tollanen imppu .
neutral	merkki	Veikkaan , että kyse oli 	206 pösöstä	 , mutta oon ennenkin ollu väärässä .
neutral	merkki	Veikkaan , että kyse oli 	206 pösöstä	 , mutta oon ennenkin ollu väärässä .
neutral	merkki	Veikkaan , että kyse oli 	206 pösöstä	 , mutta oon ennenkin ollu väärässä .
neutral	merkki	Veikkaan , että kyse oli 	206 pösöstä	 , mutta oon ennenkin ollu väärässä .
positive	kestävyys,kestävyys,kestävyys		Mondeo	 pitää olla 2 litraisella koneella , se nimittäin kestää ihan jäätävää rääkkäystä . Rauhallinen ajo kylmänä ja lämpimänä voi sitten rääkätä ihan huoletta . Kyllä zetecci kestää ja kestää , kulutuskaan ei ole paha .
positive	kestävyys,kestävyys,kestävyys		Mondeo	 pitää olla 2 litraisella koneella , se nimittäin kestää ihan jäätävää rääkkäystä . Rauhallinen ajo kylmänä ja lämpimänä voi sitten rääkätä ihan huoletta . Kyllä zetecci kestää ja kestää , kulutuskaan ei ole paha .
neutral	kestävyys,kestävyys,kestävyys		Mondeo	 pitää olla 2 litraisella koneella , se nimittäin kestää ihan jäätävää rääkkäystä . Rauhallinen ajo kylmänä ja lämpimänä voi sitten rääkätä ihan huoletta . Kyllä zetecci kestää ja kestää , kulutuskaan ei ole paha .
positive	kesto,laatu	johtuu varmaan toi osittain siitä että lähes poikkeuksetta kaikki joutuu iän myötä nuorison käyttöön ja silloin sitä sikaa vasta alkaa tulla . itsellä erittäin hyviä kokemuksia 	bemareista	 , etenkin kutoskoneista . tähän mennessä ollut 3kpl , eikä käytännössä mitään vikaa . vanhimmassa 92vm : ssä jouduin imupuolen putkia uusimaan , kun olivat haurastuneet ja halkeilleet .
positive	kesto,laatu	johtuu varmaan toi osittain siitä että lähes poikkeuksetta kaikki joutuu iän myötä nuorison käyttöön ja silloin sitä sikaa vasta alkaa tulla . itsellä erittäin hyviä kokemuksia 	bemareista	 , etenkin kutoskoneista . tähän mennessä ollut 3kpl , eikä käytännössä mitään vikaa . vanhimmassa 92vm : ssä jouduin imupuolen putkia uusimaan , kun olivat haurastuneet ja halkeilleet .
positive	kesto,laatu	johtuu varmaan toi osittain siitä että lähes poikkeuksetta kaikki joutuu iän myötä nuorison käyttöön ja silloin sitä sikaa vasta alkaa tulla . itsellä erittäin hyviä kokemuksia 	bemareista	 , etenkin kutoskoneista . tähän mennessä ollut 3kpl , eikä käytännössä mitään vikaa . vanhimmassa 92vm : ssä jouduin imupuolen putkia uusimaan , kun olivat haurastuneet ja halkeilleet .
